iter	Logloss	Accuracy
328	0.4200633275	0.8089866667
329	0.4199657997	0.8090133333
330	0.4198673012	0.8090666667
331	0.4197733972	0.80912
332	0.4196823078	0.8092266667
333	0.4196061011	0.8092533333
334	0.4195089987	0.8094933333
335	0.4194213518	0.8096266667
336	0.4193018195	0.8098133333
337	0.4192570898	0.80976
338	0.4191166248	0.80984
339	0.4190208437	0.8097333333
340	0.418913273	0.80992
341	0.4188535948	0.8098933333
342	0.4187810893	0.8099466667
343	0.4187002081	0.8101333333
344	0.4186158044	0.8102666667
345	0.4184963563	0.8102133333
346	0.4184434515	0.8102666667
347	0.4183642652	0.81048
348	0.4183005658	0.8106133333
349	0.4181916328	0.8105333333
350	0.4181003136	0.8106133333
351	0.4180306986	0.8106133333
352	0.4179675631	0.8105333333
353	0.417865233	0.81064
354	0.4177790857	0.8106133333
355	0.4177075335	0.8106666667
356	0.4175830647	0.8108
357	0.4175201278	0.8108
358	0.4174604352	0.8105866667
359	0.4173947768	0.8108
360	0.4173049885	0.8109866667
361	0.4171984563	0.8110666667
362	0.4171239173	0.8111466667
363	0.4170266849	0.81128
364	0.4169908726	0.8113066667
365	0.4169005024	0.8112533333
366	0.4168113499	0.8113866667
367	0.41676589	0.8113866667
368	0.4166789331	0.81144
369	0.4165888677	0.8115733333
370	0.4165106511	0.8115733333
371	0.4164009413	0.8117066667
372	0.4162934956	0.8116266667
373	0.4162191921	0.81176
374	0.4161310485	0.8118933333
375	0.4160848025	0.81184
376	0.4160222036	0.8117333333
377	0.4159864455	0.8117333333
378	0.4159016453	0.81184
379	0.4158526791	0.81184
380	0.4157866696	0.8120266667
381	0.4157136569	0.8121066667
382	0.4156073422	0.812
383	0.4155548218	0.8121333333
384	0.4154791052	0.8121866667
385	0.4153932235	0.8123733333
386	0.4152975713	0.8125066667
387	0.4151905235	0.8125333333
388	0.4151088135	0.81256
389	0.4150698349	0.8125866667
390	0.4149661346	0.81272
391	0.4148998854	0.8126933333
392	0.4146925696	0.8127466667
393	0.414587512	0.8128266667
394	0.4145319554	0.8128
395	0.4144455992	0.8128533333
396	0.4143884994	0.8128266667
397	0.4143150605	0.8129333333
398	0.4142482029	0.8128266667
399	0.4141886041	0.81288
400	0.4140886365	0.8129066667
401	0.4140304807	0.81296
402	0.4139489842	0.8129866667
403	0.4139033534	0.81296
404	0.4138465245	0.8129333333
405	0.4137505078	0.8130666667
406	0.4136791423	0.8130666667
407	0.4136288566	0.81296
408	0.4135702094	0.8131733333
409	0.4134860526	0.8130933333
410	0.4134124634	0.8130666667
411	0.4133598214	0.8130666667
412	0.4133008048	0.81328
413	0.4132234686	0.8133866667
414	0.4131628355	0.81336
415	0.4130982597	0.81328
416	0.4130642679	0.81328
417	0.4129748325	0.8134666667
418	0.4129333885	0.8135733333
419	0.4128951113	0.8136533333
420	0.4128201603	0.8134666667
421	0.4127397403	0.81344
422	0.4127003286	0.8134666667
423	0.4126491326	0.8136
424	0.4125919089	0.8136266667
425	0.4125362297	0.8137066667
426	0.4124945237	0.8137333333
427	0.4124206967	0.8137066667
428	0.4123079168	0.814
429	0.4121990779	0.8141866667
430	0.4121379719	0.8142133333
431	0.4120614206	0.8142133333
432	0.4120001376	0.8142133333
433	0.411908187	0.8142666667
434	0.4118200225	0.8142133333
435	0.4117049758	0.8142666667
436	0.4116061254	0.8144266667
437	0.4115224834	0.8145066667
438	0.4114622682	0.81448
439	0.41130097	0.8145333333
440	0.4112406228	0.81464
441	0.4111772502	0.8149066667
442	0.4110966572	0.81488
443	0.4109988979	0.8150133333
444	0.4109095259	0.8149333333
445	0.410862686	0.81496
446	0.4107924686	0.81488
447	0.4107314475	0.81496
448	0.4105965368	0.8149866667
449	0.4105309751	0.8149333333
450	0.4104813848	0.81512
451	0.4104085288	0.8150666667
452	0.4103282101	0.81512
453	0.4102798421	0.8151733333
454	0.4102132577	0.81528
455	0.4101468593	0.81536
456	0.4100501041	0.81536
457	0.4099934625	0.81544
458	0.4099117399	0.81552
459	0.4098717273	0.8155733333
460	0.4097662352	0.8154933333
461	0.4096966811	0.81552
462	0.4096493396	0.8156
463	0.4095622551	0.8156266667
464	0.4095069234	0.8155733333
465	0.4094300811	0.81568
466	0.4093827733	0.8158133333
467	0.4093205923	0.8159466667
468	0.409215442	0.816
469	0.4091646162	0.81592
470	0.4091089921	0.8158933333
471	0.4090449182	0.816
472	0.4089901769	0.81608
473	0.4089204441	0.81616
474	0.4088683058	0.8160266667
475	0.4087905519	0.816
476	0.4087668059	0.8160533333
477	0.4087256065	0.8162666667
478	0.4086764111	0.81632
479	0.4085952483	0.8163466667
480	0.4085559862	0.8163466667
481	0.4085226046	0.81632
482	0.4084365843	0.8165866667
483	0.4083588334	0.81656
484	0.408326412	0.8165333333
485	0.408264284	0.8166933333
486	0.4082203458	0.8165333333
487	0.4081400097	0.8166933333
488	0.4080525219	0.8168266667
489	0.4080033171	0.8167733333
490	0.4079088223	0.81696
491	0.4078830775	0.8169333333
492	0.4078235305	0.81688
493	0.4077479909	0.8168266667
494	0.4076948358	0.8168266667
495	0.4076149598	0.8169866667
496	0.4075857035	0.8171466667
497	0.4075004047	0.8170933333
498	0.4074271535	0.8170933333
499	0.407354066	0.8172533333
500	0.4072869274	0.8172533333
501	0.4071932019	0.81728
502	0.407118287	0.8174666667
503	0.4070226856	0.8174133333
504	0.4069454505	0.8176266667
505	0.4069075766	0.8176266667
506	0.4068371672	0.8174666667
507	0.4067768909	0.8176533333
508	0.406711863	0.81752
509	0.4066431044	0.8176533333
510	0.4065697564	0.8177866667
511	0.406468582	0.8178133333
512	0.4064166542	0.8176
513	0.4063725842	0.81776
514	0.4063182457	0.8176266667
515	0.4062625014	0.8177333333
516	0.4061776937	0.8178133333
517	0.4061119564	0.8178133333
518	0.4060488616	0.81784
519	0.4059689118	0.8179733333
520	0.4058915559	0.8184
521	0.4058537782	0.8185333333
522	0.4057539816	0.8185333333
523	0.4057212098	0.8185866667
524	0.4056437305	0.8185333333
525	0.4055613336	0.81872
526	0.4054547133	0.8188266667
527	0.4054233805	0.8187466667
528	0.4052886508	0.81904
529	0.4051868653	0.8190933333
530	0.4051199105	0.81904
531	0.4050332172	0.81896
532	0.4049983503	0.8189066667
533	0.4049275348	0.8190666667
534	0.4048357916	0.81904
535	0.4047663576	0.81912
536	0.4047213978	0.8190666667
537	0.4046524309	0.8190933333
538	0.4045874011	0.8192
539	0.4045450681	0.8192266667
540	0.404494557	0.8191733333
541	0.4044376126	0.8192
542	0.4043589632	0.8193066667
543	0.4042724437	0.8193066667
544	0.4042081514	0.8196266667
545	0.4041670973	0.8196266667
546	0.4040694082	0.8197333333
547	0.4040061615	0.81976
548	0.4039226503	0.8197066667
549	0.4038631089	0.81968
550	0.4038155836	0.8197066667
551	0.4037247489	0.8198133333
552	0.4036207061	0.8198933333
553	0.4035678443	0.8198933333
554	0.4035143965	0.8198933333
555	0.4034633325	0.82
556	0.4033943559	0.82008
557	0.4033351245	0.82008
558	0.4032806674	0.82008
559	0.4032164457	0.82032
560	0.4031727614	0.8202666667
561	0.4031337041	0.8202666667
562	0.4031076247	0.82032
563	0.4030215367	0.82032
564	0.4029630511	0.82032
565	0.4029191025	0.82032
566	0.4028376929	0.8203733333
567	0.4027588257	0.8204266667
568	0.4026762587	0.82024
569	0.4026023342	0.8204533333
570	0.4025687466	0.8204
571	0.4025071512	0.8205066667
572	0.402449383	0.8205333333
573	0.4024039463	0.8205066667
574	0.4023577494	0.8205866667
575	0.4023243166	0.8206133333
576	0.4022594497	0.8208266667
577	0.4021630442	0.8208266667
578	0.4020887754	0.8209066667
579	0.4019869845	0.82096
580	0.4019403567	0.82096
581	0.4018481771	0.8211466667
582	0.401789618	0.8210933333
583	0.4017124731	0.82104
584	0.4016321631	0.8210933333
585	0.4015521962	0.8212
586	0.4014973138	0.8212533333
587	0.401396282	0.8212266667
588	0.4013180325	0.8211733333
589	0.401268581	0.82112
590	0.4011982398	0.82128
591	0.4011310203	0.8213066667
592	0.4011064548	0.8212266667
593	0.4010272203	0.82136
594	0.4009431138	0.8216
595	0.4008414344	0.8216266667
596	0.4008102903	0.8216533333
597	0.4007241851	0.8216
598	0.4006621212	0.8216266667
599	0.4006159898	0.8216
600	0.4005367454	0.8215733333
601	0.4004786585	0.8218666667
602	0.4004105267	0.8217333333
603	0.4003455159	0.8218133333
604	0.4003093177	0.8218133333
605	0.4002792111	0.8218133333
606	0.4002402823	0.8217866667
607	0.4001851612	0.82176
608	0.4001196206	0.82184
609	0.4000222563	0.8219466667
610	0.3999270535	0.8219733333
611	0.3998425873	0.82208
612	0.3997703084	0.8220533333
613	0.399713814	0.8221066667
614	0.399629263	0.82208
615	0.3995929619	0.82216
616	0.399498677	0.8221866667
617	0.3994462695	0.82224
618	0.3993859199	0.82232
619	0.3993294983	0.8222933333
620	0.3992623707	0.8224266667
621	0.3992181151	0.8223466667
622	0.3991244733	0.8222933333
623	0.3990607511	0.82224
624	0.3989885545	0.8221866667
625	0.3989059647	0.8224
626	0.3988286372	0.8224533333
627	0.3987655416	0.8225333333
628	0.3986861135	0.8225333333
629	0.3986101621	0.82256
630	0.3985545814	0.8225333333
631	0.3984928704	0.82256
632	0.3983890005	0.8225333333
633	0.3983617489	0.82256
634	0.39830001	0.8225066667
635	0.3982489748	0.8224266667
636	0.398196746	0.82256
637	0.398117188	0.82248
638	0.3980495544	0.8226133333
639	0.3979503362	0.8226933333
640	0.3978665663	0.82272
641	0.397827892	0.82264
642	0.3977790593	0.8226133333
643	0.3977348218	0.8225866667
644	0.3976642102	0.8228
645	0.3976100617	0.8228
646	0.3975647742	0.8228
647	0.3974764512	0.82288
648	0.3974656308	0.8228533333
649	0.3973777005	0.82296
650	0.3973183884	0.82312
651	0.3972318776	0.8231466667
652	0.3971585518	0.8232
653	0.3970798396	0.8232533333
654	0.3969838287	0.82328
655	0.3969233661	0.8232533333
656	0.3968613539	0.8232533333
657	0.3968462482	0.82336
658	0.3967439723	0.82336
659	0.3967025171	0.8234666667
660	0.3966565129	0.8235466667
661	0.3966237714	0.8236533333
662	0.3965541636	0.8238666667
663	0.3964865836	0.82392
664	0.3963992437	0.8239466667
665	0.3963221812	0.82392
666	0.3962945207	0.8238933333
667	0.3962654075	0.8238933333
668	0.3962113146	0.82392
669	0.3961510696	0.8240533333
670	0.396101709	0.8240266667
671	0.3960083851	0.8241866667
672	0.3959567399	0.8242933333
673	0.3958721901	0.82456
674	0.3958431012	0.8246133333
675	0.3958161669	0.82464
676	0.3958150316	0.82464
677	0.3957368953	0.8246133333
678	0.3956628503	0.82472
679	0.3955635306	0.8246133333
680	0.395498705	0.8249066667
681	0.3954421591	0.8249066667
682	0.3953975936	0.8248
683	0.3953516763	0.8246933333
684	0.3952923819	0.8247733333
685	0.3951891004	0.8248
686	0.3951190377	0.8248533333
687	0.395081993	0.8249333333
688	0.3950167425	0.8250133333
689	0.394978094	0.8250933333
690	0.3949393585	0.8250133333
691	0.3948679929	0.8250666667
692	0.3948020827	0.82504
693	0.3947499123	0.8251466667
694	0.3946891594	0.82504
695	0.3946175404	0.8250666667
696	0.3945668031	0.8250133333
697	0.3944991974	0.8250666667
698	0.394450848	0.8251733333
699	0.3944185089	0.8252266667
700	0.3943024065	0.8252
701	0.3942713534	0.8253066667
702	0.3942136853	0.8254666667
703	0.394157369	0.8252533333
704	0.3941290825	0.8251466667
705	0.394082321	0.8252533333
706	0.3940239187	0.8252
707	0.3939278202	0.82536
708	0.3938847635	0.8254133333
709	0.3938442069	0.8253866667
710	0.3938135396	0.8254133333
711	0.3937551712	0.8253333333
712	0.3937354289	0.82536
713	0.3936538259	0.8254933333
714	0.3936008207	0.8255733333
715	0.3935655939	0.8256
716	0.3934833099	0.8254666667
717	0.393452157	0.8254133333
718	0.3933918165	0.82536
719	0.3933557603	0.82536
720	0.3932837023	0.8253333333
721	0.3932367193	0.8254666667
722	0.3931415825	0.8254133333
723	0.39309669	0.8253333333
724	0.3930281188	0.8254933333
725	0.3929518476	0.8255733333
726	0.392873627	0.82568
727	0.3928016907	0.82576
728	0.3927463784	0.8257333333
729	0.3927104832	0.8257866667
730	0.3926674989	0.8258133333
731	0.3925893383	0.8258133333
732	0.3925452694	0.82592
733	0.3924425375	0.8258666667
734	0.3923769151	0.8261066667
735	0.3923378425	0.82616
736	0.3922703655	0.8261333333
737	0.3922051826	0.8263733333
738	0.3921305917	0.8262933333
739	0.3921034105	0.8262133333
740	0.3920348069	0.8262933333
741	0.3920026857	0.8262933333
742	0.3919579733	0.8262666667
743	0.3918718789	0.8264533333
744	0.3918018899	0.82648
745	0.3917552212	0.8265066667
746	0.3917213429	0.8266666667
747	0.3916908552	0.82672
748	0.3916115735	0.8266666667
749	0.391574776	0.8267733333
750	0.3915008183	0.8267466667
751	0.391441024	0.8267466667
752	0.3914021803	0.8269066667
753	0.3913403331	0.82696
754	0.3912837979	0.8268533333
755	0.3912512282	0.82696
756	0.3912058958	0.82704
757	0.391151117	0.82712
758	0.3910894815	0.8269866667
759	0.3909765091	0.82696
760	0.390906881	0.8271466667
761	0.3908534902	0.8271733333
762	0.3908058276	0.8270666667
763	0.3906970192	0.8271466667
764	0.3906277854	0.8270933333
765	0.3905568576	0.8271466667
766	0.3905001252	0.8272
767	0.3904183199	0.8272266667
768	0.3903455852	0.8274133333
769	0.3902880982	0.82736
770	0.3902213814	0.8274133333
771	0.3901745933	0.8272533333
772	0.3901123762	0.8272533333
773	0.3900514336	0.8274666667
774	0.3899939302	0.82752
775	0.3899437875	0.82768
776	0.3899096896	0.8277066667
777	0.3898515139	0.82768
778	0.3898209828	0.82776
779	0.3897348148	0.82776
780	0.3897031838	0.8277866667
781	0.3896341821	0.828
782	0.3895554473	0.8279733333
