iter	Logloss	Accuracy
0	0.5185732292	0.75912
1	0.4759667361	0.7778133333
2	0.4677687413	0.7818666667
3	0.4634025589	0.78464
4	0.4589227718	0.7861066667
5	0.4572015053	0.7877866667
6	0.4551285223	0.7878933333
7	0.4536337295	0.7879466667
8	0.4519992308	0.78984
9	0.4504549737	0.7902133333
10	0.4492653966	0.79128
11	0.448397051	0.7918133333
12	0.4478253385	0.7917866667
13	0.4470378269	0.79256
14	0.445760636	0.7936
15	0.444678758	0.7936266667
16	0.4404664728	0.7950666667
17	0.4393970711	0.7962666667
18	0.4386896196	0.79696
19	0.4378587982	0.79688
20	0.4368324106	0.7972266667
21	0.435429178	0.79744
22	0.4346544224	0.79784
23	0.4337067201	0.7992266667
24	0.4329147142	0.79952
25	0.4318821402	0.79952
26	0.4307991598	0.79976
27	0.430155033	0.8005866667
28	0.4291911616	0.8015466667
29	0.4284259071	0.8022666667
30	0.4277164043	0.80264
31	0.4272959384	0.80304
32	0.4264676325	0.8031466667
33	0.4260027539	0.804
34	0.4253985401	0.8036533333
35	0.4251080269	0.8037066667
36	0.4243944047	0.8040266667
37	0.4235178855	0.8052266667
38	0.4227618	0.8052533333
39	0.4221645938	0.8053333333
40	0.421462539	0.8056
41	0.42136274	0.8057333333
42	0.4207010981	0.80632
43	0.4199959616	0.8070933333
44	0.419535513	0.8073866667
45	0.4187871825	0.8077866667
46	0.4180395631	0.80784
47	0.4175062148	0.80832
48	0.4167946583	0.8085866667
49	0.4162599395	0.8090133333
50	0.4156581718	0.8093333333
51	0.4152922404	0.8098933333
52	0.4146215049	0.8096266667
53	0.4137687642	0.8105066667
54	0.4131169894	0.81096
55	0.4125855341	0.81112
56	0.4120509267	0.81152
57	0.4112577884	0.8124533333
58	0.4106857533	0.8124266667
59	0.409920565	0.8129866667
60	0.4093869888	0.8132266667
61	0.4089707834	0.81296
62	0.4086199756	0.8130933333
63	0.4083115379	0.81344
64	0.4078782565	0.8140266667
65	0.4074990286	0.8143466667
66	0.4067608371	0.81432
67	0.4060152881	0.8150133333
68	0.4055633684	0.8151466667
69	0.4050313562	0.81552
70	0.4046597774	0.8156533333
71	0.404127847	0.81608
72	0.4036742795	0.8173066667
73	0.4030183041	0.81728
74	0.4025921581	0.8170666667
75	0.4018837721	0.8180266667
76	0.4013775205	0.8176533333
77	0.4007290348	0.8184266667
78	0.4002442888	0.8191733333
79	0.4000321099	0.8189066667
80	0.3996288054	0.8193333333
81	0.3992559806	0.8195733333
82	0.3986612287	0.81984
83	0.3980765554	0.82016
84	0.3976133457	0.8205333333
85	0.3972649108	0.8208533333
86	0.3968911721	0.8210666667
87	0.3966193713	0.8209866667
88	0.3962823895	0.8212
89	0.395521182	0.8211466667
90	0.3949358624	0.8217333333
91	0.3944013352	0.8222133333
92	0.3936999281	0.8224
93	0.3930346454	0.8229333333
94	0.392529594	0.82328
95	0.3922283991	0.8233066667
96	0.3918340615	0.8236533333
97	0.3914811129	0.8237333333
98	0.390986818	0.824
99	0.3903457332	0.8240266667
100	0.3898788563	0.8245066667
101	0.389131417	0.8249333333
102	0.3886641694	0.82512
103	0.3882601199	0.8252
104	0.387550916	0.8257866667
105	0.3871161404	0.82624
106	0.3866176271	0.82648
107	0.3862074372	0.8268533333
108	0.3857497835	0.8276
109	0.3855610875	0.82768
110	0.3850363716	0.82792
111	0.3845347688	0.8277866667
112	0.3843279766	0.82784
113	0.3841191503	0.8278133333
114	0.3836729672	0.82832
115	0.3831491315	0.8285866667
116	0.3824576706	0.8292
117	0.3821651164	0.82904
118	0.3817513475	0.8294666667
119	0.3813022024	0.8296533333
120	0.3808435383	0.82976
121	0.3803397847	0.8305066667
122	0.3799765363	0.83064
123	0.3794546736	0.83112
124	0.3790246258	0.83152
125	0.3787953647	0.8314666667
126	0.3785026206	0.8319733333
127	0.3778947231	0.8325066667
128	0.3775388673	0.8326933333
129	0.3771124094	0.8333333333
130	0.3768244474	0.8337066667
131	0.3762471897	0.8343466667
132	0.3757196076	0.83432
133	0.3754869082	0.8347466667
134	0.3751551267	0.83448
135	0.3746697827	0.8342666667
136	0.3741687126	0.8345866667
137	0.3736939728	0.83496
138	0.3733955383	0.8352266667
139	0.3730447003	0.8350933333
140	0.3727815416	0.83552
141	0.3726159146	0.8355466667
142	0.3722863233	0.8357066667
143	0.3718588192	0.836
144	0.3710583001	0.8354133333
145	0.3705793709	0.8356
146	0.3702369006	0.8358933333
147	0.3698968458	0.8361333333
