iter	Logloss	Accuracy
66	0.5374640935	0.77584
67	0.5362233124	0.7757066667
68	0.5352128286	0.77568
69	0.534290113	0.77608
70	0.5332841585	0.7763733333
71	0.5323246702	0.77608
72	0.531410626	0.7761066667
73	0.5302376846	0.7761066667
74	0.529274827	0.7760266667
75	0.5284379134	0.77624
76	0.5275197112	0.77664
77	0.5264289697	0.7763466667
78	0.525287093	0.7759733333
79	0.5244549219	0.77592
80	0.5236988478	0.7767733333
81	0.5229889948	0.77712
82	0.5222186902	0.7771733333
83	0.5215344044	0.7773066667
84	0.5207505878	0.7776266667
85	0.5200042729	0.77752
86	0.5190241474	0.7777066667
87	0.5183000216	0.7776266667
88	0.5173553821	0.77784
89	0.516645742	0.77792
90	0.5159923969	0.7781333333
91	0.5152847323	0.7785333333
92	0.5145975982	0.77816
93	0.5138797844	0.7781333333
94	0.5132356028	0.77848
95	0.5124616276	0.77848
96	0.5118618874	0.77856
97	0.5110983728	0.7786933333
98	0.5103487146	0.7786666667
99	0.5097638417	0.7786133333
100	0.5090116082	0.7787733333
101	0.508315258	0.7792
102	0.5077078691	0.7787733333
103	0.5071531339	0.7789866667
104	0.5065874245	0.7789333333
105	0.5060462401	0.7790666667
106	0.505608679	0.7791733333
107	0.505079839	0.7792533333
108	0.5043604874	0.7792533333
109	0.5038860477	0.7792533333
110	0.503353893	0.7792533333
111	0.5027579443	0.77944
112	0.5023783195	0.77928
113	0.5018730295	0.77944
114	0.501397946	0.7797866667
115	0.5009103323	0.7797333333
116	0.5003160797	0.77992
117	0.4998801112	0.77992
118	0.4993839174	0.7797866667
119	0.4988687181	0.7797066667
120	0.4984514753	0.7797066667
121	0.4980461504	0.7798133333
122	0.4975065456	0.7798933333
123	0.4971121793	0.7800533333
124	0.4966083077	0.7800266667
125	0.4962391212	0.7801066667
126	0.4956953637	0.77992
127	0.4952516536	0.7798933333
128	0.4947648807	0.78008
129	0.4943874147	0.7799466667
130	0.4939934328	0.7800266667
131	0.4936131301	0.7801333333
132	0.4932010532	0.78016
133	0.4927635985	0.77992
134	0.4923846186	0.77992
135	0.4920713745	0.7800266667
136	0.4917297402	0.7801866667
137	0.4913643274	0.7801066667
138	0.491005827	0.7800266667
139	0.4907216315	0.78008
140	0.4903687955	0.78016
141	0.4900383623	0.7803733333
142	0.4897066856	0.7804533333
143	0.4893539431	0.7803466667
144	0.4890641955	0.7804533333
145	0.488695334	0.7807733333
146	0.4883237538	0.78088
147	0.4880226647	0.7806933333
148	0.4876988504	0.7806133333
149	0.4873134311	0.7805066667
150	0.4870008185	0.7807466667
151	0.4866149334	0.7805066667
152	0.4863376046	0.78064
153	0.4860760155	0.7806933333
154	0.4857590272	0.7807733333
155	0.4855076275	0.7806933333
156	0.4852444377	0.78072
157	0.4849788019	0.7806933333
158	0.4847124964	0.78088
159	0.4844384103	0.78088
160	0.4842280072	0.78104
161	0.484000853	0.7810933333
162	0.4836972273	0.7809066667
163	0.483444465	0.78096
164	0.4830896877	0.78112
165	0.4828518712	0.7813066667
166	0.4825600814	0.7812533333
167	0.4822843147	0.7812533333
168	0.4820319726	0.7813333333
169	0.4818413672	0.7816266667
170	0.4816408664	0.7816266667
171	0.4813962679	0.7818666667
172	0.4811692969	0.7820533333
173	0.4809725694	0.7820266667
174	0.4807235656	0.7818933333
175	0.4805385858	0.782
176	0.480352674	0.7819466667
177	0.4801357392	0.7819466667
178	0.4799042161	0.78208
179	0.4797354724	0.7821333333
180	0.479453369	0.7821066667
181	0.4792700915	0.7820533333
182	0.4790740386	0.7821866667
183	0.4788995279	0.7822133333
184	0.4786858594	0.7821333333
185	0.478503821	0.78232
186	0.4783115375	0.7822133333
187	0.4781417092	0.7821866667
188	0.4779569148	0.7822666667
189	0.4777217362	0.78232
190	0.4775668706	0.7824533333
191	0.4774133111	0.7824266667
192	0.4772508397	0.7824533333
193	0.4770791031	0.78248
194	0.4769051222	0.7826933333
195	0.4767253911	0.78288
196	0.4765363757	0.78264
197	0.4763675236	0.7824266667
198	0.4762011001	0.78248
199	0.4760476678	0.7825066667
200	0.4758112347	0.7825333333
201	0.4756515125	0.7826933333
202	0.4754871984	0.7828
203	0.4753279935	0.7826666667
204	0.4751669769	0.78272
205	0.4750158808	0.7827733333
206	0.4748532533	0.7826933333
207	0.4746899147	0.78272
208	0.4745060747	0.7828266667
209	0.4743343087	0.78288
210	0.4742238577	0.7829066667
211	0.4740817069	0.7830133333
212	0.4738907682	0.7830133333
213	0.4737290835	0.7832
214	0.4735149995	0.78304
215	0.4733639277	0.78296
216	0.4731695984	0.7829333333
217	0.4730321616	0.78312
218	0.4729115766	0.7831466667
219	0.4727934496	0.7831466667
220	0.4726765484	0.7832533333
221	0.4725555753	0.78328
222	0.4724259406	0.78336
223	0.4722254621	0.7833866667
224	0.4720807665	0.78336
225	0.4718926224	0.7832266667
226	0.4717770544	0.7832266667
227	0.4716484962	0.7832266667
228	0.4715009168	0.78312
229	0.4713629659	0.78312
230	0.4711996214	0.7831733333
231	0.4710809086	0.78304
232	0.4709892712	0.7831733333
233	0.4708662026	0.7832
234	0.4707585935	0.7832
235	0.4706535651	0.7832
236	0.4705339945	0.7833066667
237	0.4704304056	0.78336
238	0.4703061758	0.7833333333
239	0.4701842587	0.7834933333
240	0.4700872831	0.7834933333
241	0.4699846508	0.7834933333
242	0.4698751938	0.7834933333
243	0.4697660213	0.78352
244	0.4696419028	0.7834666667
245	0.4695427647	0.7836
246	0.4694348451	0.7836266667
247	0.4693497204	0.7835733333
248	0.4692591644	0.78376
249	0.4691316264	0.7836533333
250	0.4690323279	0.7837333333
251	0.4689234237	0.7837066667
252	0.4688044626	0.7836533333
253	0.4686955021	0.7836533333
254	0.4685753994	0.7837066667
255	0.4684895435	0.7836266667
256	0.4683585063	0.7836
257	0.4682791035	0.7836533333
258	0.4681726725	0.7838133333
259	0.4680817206	0.7835733333
260	0.4679925799	0.7836533333
261	0.4678949224	0.7835733333
262	0.4677501353	0.7836266667
263	0.4676707991	0.78352
264	0.4675261298	0.7835733333
265	0.4674429252	0.7835733333
266	0.4673385054	0.7836266667
267	0.4672558205	0.78352
268	0.4671616864	0.78352
269	0.4670629267	0.78376
270	0.4669540924	0.78376
271	0.4668821838	0.7837066667
272	0.4667525973	0.7835733333
273	0.4666886405	0.7836266667
274	0.4665471082	0.78376
275	0.4664681552	0.78384
276	0.4663911807	0.7839466667
277	0.4663119725	0.78384
278	0.466231462	0.78392
279	0.4661525614	0.7838133333
280	0.4660624191	0.78392
281	0.4660050517	0.7841333333
282	0.4658845162	0.7839733333
283	0.4658110347	0.7840533333
284	0.4657256478	0.7840266667
285	0.46563972	0.784
286	0.4655580074	0.7840266667
287	0.4654807411	0.784
288	0.4654078212	0.78424
289	0.4653414114	0.7843733333
