iter	Passed	Remaining
0	16	16107
1	24	12399
2	34	11516
3	43	10763
4	55	11042
5	65	10833
6	73	10430
7	82	10196
8	90	9995
9	99	9897
10	107	9706
11	117	9671
12	125	9554
13	135	9523
14	144	9457
15	153	9439
16	161	9338
17	170	9289
18	179	9282
19	188	9216
20	195	9131
21	204	9081
22	214	9106
23	233	9484
24	242	9444
25	250	9384
26	258	9325
27	266	9253
28	275	9225
29	285	9226
30	294	9214
31	302	9164
32	310	9106
33	320	9111
34	332	9168
35	341	9146
36	352	9162
37	361	9155
38	370	9138
39	379	9101
40	387	9054
41	395	9010
42	403	8973
43	411	8949
44	421	8939
45	428	8891
46	437	8873
47	445	8837
48	454	8829
49	465	8838
50	474	8838
51	483	8811
52	493	8815
53	501	8784
54	509	8753
55	517	8731
56	528	8744
57	538	8740
58	547	8730
59	555	8701
60	563	8671
61	571	8641
62	579	8616
63	588	8601
64	596	8585
65	606	8578
66	615	8574
67	623	8545
68	631	8521
69	641	8517
70	649	8494
71	658	8490
72	668	8483
73	676	8463
74	684	8436
75	693	8435
76	701	8412
77	709	8390
78	717	8366
79	727	8362
80	736	8360
81	745	8346
82	755	8349
83	763	8324
84	771	8309
85	782	8311
86	790	8292
87	801	8306
88	817	8372
89	829	8390
90	837	8365
91	846	8357
92	854	8338
93	863	8321
94	871	8305
95	881	8298
96	889	8277
97	898	8270
98	906	8249
99	914	8226
100	922	8214
101	930	8192
102	939	8179
103	948	8175
104	956	8151
105	963	8129
106	973	8122
107	981	8107
108	989	8088
109	996	8061
110	1005	8055
111	1013	8034
112	1020	8010
113	1029	8004
114	1038	7992
115	1047	7986
116	1056	7970
117	1064	7959
118	1072	7942
119	1082	7939
120	1090	7919
121	1099	7914
122	1108	7900
123	1116	7884
124	1124	7868
125	1133	7862
126	1141	7846
127	1149	7829
128	1158	7822
129	1167	7810
130	1175	7798
131	1194	7854
132	1222	7967
133	1244	8042
134	1270	8142
135	1286	8170
136	1294	8153
137	1302	8137
138	1311	8121
139	1320	8112
140	1330	8106
141	1337	8084
142	1347	8078
143	1357	8067
144	1366	8057
145	1374	8041
146	1382	8024
147	1392	8014
148	1399	7992
149	1408	7980
150	1416	7965
151	1425	7952
152	1434	7942
153	1443	7927
154	1452	7916
155	1461	7908
156	1470	7896
157	1477	7876
158	1487	7866
159	1496	7855
160	1505	7845
161	1514	7835
162	1522	7819
163	1532	7810
164	1540	7794
165	1549	7784
166	1556	7765
167	1564	7749
168	1572	7731
169	1581	7722
170	1591	7713
171	1599	7697
172	1608	7689
173	1617	7679
174	1627	7670
175	1634	7651
176	1642	7636
177	1650	7623
178	1659	7612
179	1669	7603
180	1678	7595
181	1687	7583
182	1694	7563
183	1701	7545
184	1710	7535
185	1719	7526
186	1729	7518
187	1737	7502
188	1746	7492
189	1754	7481
190	1763	7471
191	1779	7489
192	1798	7518
193	1812	7529
194	1827	7545
195	1844	7567
196	1858	7576
197	1868	7569
198	1878	7559
199	1887	7548
200	1895	7535
201	1904	7523
202	1913	7513
203	1921	7499
204	1929	7484
205	1937	7467
206	1946	7457
207	1954	7441
208	1963	7431
209	1971	7416
210	1980	7405
211	1989	7395
212	1997	7380
213	2006	7370
214	2014	7355
215	2024	7346
216	2032	7332
217	2042	7326
218	2051	7317
219	2059	7301
220	2068	7291
221	2078	7283
222	2087	7273
223	2096	7261
224	2103	7246
225	2111	7230
226	2120	7220
227	2127	7202
228	2134	7186
229	2143	7177
230	2153	7167
231	2161	7155
232	2172	7151
233	2181	7142
234	2191	7134
235	2201	7125
236	2209	7113
237	2219	7105
238	2227	7092
239	2236	7082
240	2246	7074
241	2256	7066
242	2265	7056
243	2272	7040
244	2281	7031
245	2295	7036
246	2305	7029
247	2313	7014
248	2321	7002
249	2329	6987
250	2338	6978
251	2347	6968
252	2354	6952
253	2364	6944
254	2373	6935
255	2382	6924
256	2392	6915
257	2401	6906
258	2410	6897
259	2418	6883
260	2427	6873
261	2436	6863
262	2445	6853
263	2454	6844
264	2463	6832
265	2472	6822
266	2481	6813
267	2489	6799
268	2498	6789
269	2506	6776
270	2515	6766
271	2525	6758
272	2533	6746
273	2542	6737
274	2550	6724
275	2559	6713
276	2567	6702
277	2575	6690
278	2585	6681
279	2594	6671
280	2603	6662
281	2613	6653
282	2620	6638
283	2629	6628
284	2637	6615
285	2646	6607
286	2655	6597
287	2664	6586
288	2673	6577
289	2680	6562
290	2689	6553
291	2699	6544
292	2708	6535
293	2717	6525
294	2726	6516
295	2735	6506
296	2742	6491
297	2750	6479
298	2760	6471
299	2770	6464
300	2782	6460
301	2792	6454
302	2799	6440
303	2807	6427
304	2816	6418
305	2823	6403
306	2832	6394
307	2841	6384
308	2850	6375
309	2858	6362
310	2867	6353
311	2876	6343
312	2883	6329
313	2892	6319
314	2901	6310
315	2910	6300
316	2917	6286
317	2927	6278
318	2936	6268
319	2945	6259
320	2954	6250
321	2964	6241
322	2973	6231
323	2982	6223
324	2992	6214
325	3000	6204
326	3009	6194
327	3018	6185
328	3028	6176
